proportion
0.314,0.386,0.558,0.75,0.906,0.968,1,1,1,1,1,1,1,1,1,1,1,1,1,1,

0.598,0.664,0.866,0.894,0.918,0.904,0.914,0.902,0.924,0.912,0.91,0.9,0.934,0.95,0.924,0.916,0.926,0.896,0.936,0.952,
0.648,0.68,0.768,0.794,0.822,0.792,0.75,0.694,0.668,0.552,0.484,0.384,0.322,0.238,0.22,0.142,0.052,0.068,0.048,0.018,

0.222,0.26,0.322,0.476,0.61,0.642,0.734,0.744,0.768,0.728,0.666,0.64,0.498,0.332,0.23,0.09,0.038,0.046,0.024,0.012,
0.182,0.2,0.164,0.206,0.254,0.364,0.44,0.528,0.524,0.554,0.572,0.53,0.43,0.374,0.404,0.356,0.272,0.194,0.114,0.032,

0.022,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.022,0.018,0.004,0.006,0.008,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.354,0.386,0.502,0.664,0.856,0.922,0.926,0.868,0.808,0.814,0.746,0.69,0.656,0.642,0.594,0.506,0.38,0.256,0.182,0.118,
0.376,0.44,0.464,0.608,0.768,0.878,0.944,0.936,0.942,0.954,0.944,0.958,0.96,0.952,0.966,0.958,0.952,0.922,0.93,0.926,

0.124,0.166,0.288,0.46,0.69,0.816,0.874,0.864,0.824,0.792,0.772,0.746,0.668,0.638,0.604,0.606,0.558,0.552,0.438,0.34,
0.094,0.118,0.292,0.562,0.772,0.882,0.938,0.942,0.96,0.946,0.942,0.942,0.936,0.918,0.94,0.962,0.94,0.936,0.918,0.906,

0.152,0.086,0.01,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.156,0.106,0.006,0.004,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.068,0.054,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.064,0.046,0.01,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

0.002,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
