generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome ; average distance ; variance distance ; first quartiel distance ; sencond quartile distance ; third quartile distance
83 ; 1;6528.65;2.02839e+06;5618.84;6457.46;7574.72;11.4584;1.32227;10.7108;11.4699;12.2289;393;1;0;1;1;1;1;1;9.07379;118.825;0.00113467;7.57541;14.9906
84 ; 1;6547.72;2.00021e+06;5601.77;6455.7;7599.22;11.4488;1.30083;10.7143;11.4762;12.1905;391;1;0;1;1;1;1;1;112.949;2.16211e+06;0.000847676;6.70659;13.9168
85 ; 1;6558.78;1.95523e+06;5631.92;6491.82;7592.59;11.4312;1.28144;10.6706;11.4353;12.1882;391;1;0;1;1;1;1;1;7.97122;107.793;0.000107801;6.2654;13.9116
86 ; 1;6577.67;1.92453e+06;5645.31;6540.29;7577.67;11.4238;1.27825;10.6744;11.4302;12.1395;389;1;0;1;1;1;1;1;9.73578;110.792;0.00455223;12.9839;16.3791
87 ; 1;6610.48;1.91738e+06;5631.15;6612.69;7549.55;11.4351;1.26662;10.7011;11.4483;12.1724;389;1;0;1;1;1;1;1;94.1445;2.94519e+06;0.000606553;6.91587;13.918
88 ; 1;6624.09;1.8972e+06;5630.15;6602.34;7588.29;11.4332;1.2682;10.6818;11.4432;12.1591;388;1;0;1;1;1;1;1;25.7197;111340;0.00150471;9.93749;14.9843
89 ; 1;6645.27;1.89019e+06;5614.95;6634.26;7663.91;11.4287;1.26867;10.6517;11.4719;12.1573;390;1;0;1;1;1;1;1;8.21816;139.819;0.000435069;5.40101;13.9123
90 ; 1;6649.29;1.88139e+06;5646.1;6686.89;7660.89;11.4163;1.26676;10.6444;11.4444;12.1667;391;1;0;1;1;1;1;1;8.22628;108.879;0.000739336;6.91436;13.9164
91 ; 1;6666.45;1.85677e+06;5645.68;6710.88;7669.44;11.4226;1.25952;10.6813;11.4835;12.1758;391;1;0;1;1;1;1;1;8.59143;103.264;0.000646993;6.93017;14.3407
92 ; 1;6680.78;1.84388e+06;5726.05;6703.15;7655.33;11.4184;1.24853;10.6957;11.4674;12.1739;392;1;0;1;1;1;1;1;9.03935;115.422;0.00126127;7.13339;14.1305
93 ; 1;6700.54;1.83399e+06;5718.38;6690.81;7692.14;11.4264;1.24121;10.7204;11.4731;12.1398;393;1;0;1;1;1;1;1;8.39026;106.127;0.00109086;6.70725;13.9173
94 ; 1;6712.37;1.78933e+06;5728.17;6727.54;7657.39;11.4198;1.22375;10.7234;11.4574;12.1277;395;1;0;1;1;1;1;1;8.80824;129.665;0.000288518;10.1689;14.7684
95 ; 1;6728.9;1.78177e+06;5793.21;6717.69;7746.77;11.4266;1.21428;10.7368;11.4421;12.1474;395;1;0;1;1;1;1;1;9.18311;112.333;0.000986976;6.91825;14.3091
96 ; 1;6753.02;1.76581e+06;5829.8;6764.03;7774.61;11.429;1.19909;10.7708;11.4375;12.125;397;1;0;1;1;1;1;1;10.0261;131.278;0.00484472;11.1641;17.357
97 ; 1;6779.03;1.76073e+06;5859.66;6777.19;7812.09;11.4385;1.18289;10.7732;11.4845;12.1237;398;1;0;1;1;1;1;1;9.48303;126.377;0.00236939;7.35814;13.9128
98 ; 1;6795.7;1.74833e+06;5843.19;6800.89;7798.77;11.448;1.16937;10.8061;11.4796;12.1429;400;1;0;1;1;1;1;1;8.62506;120.094;0.0018223;6.89473;14.7607
99 ; 1;6809.81;1.73066e+06;5845.58;6843.06;7792.56;11.4512;1.16263;10.8081;11.4848;12.1616;400;1;0;1;1;1;1;1;8.49151;123.765;0.000981799;6.70167;13.9158
