proportion
0.046,0.072,0.072,0.13,0.18,0.248,0.286,0.376,0.444,0.588,0.712,0.788,0.852,0.91,0.914,0.95,0.954,0.956,0.974,0.974,

0.286,0.406,0.61,0.714,0.826,0.902,0.962,0.986,0.996,0.998,1,1,1,1,1,1,1,1,1,1,
0.368,0.432,0.554,0.592,0.686,0.748,0.804,0.842,0.896,0.918,0.946,0.938,0.964,0.986,0.996,1,1,1,1,1,
0.324,0.418,0.576,0.67,0.722,0.794,0.898,0.942,0.96,0.982,0.992,0.998,1,1,1,1,1,1,1,1,
0.37,0.442,0.53,0.582,0.686,0.768,0.772,0.822,0.862,0.878,0.894,0.944,0.96,0.964,0.96,0.958,0.966,0.968,0.976,0.984,
0.374,0.45,0.65,0.72,0.772,0.8,0.846,0.91,0.912,0.906,0.942,0.962,0.978,0.986,0.996,1,1,1,1,1,
0.398,0.498,0.63,0.718,0.84,0.894,0.924,0.944,0.938,0.958,0.97,0.994,1,1,1,1,1,1,1,1,
0.356,0.44,0.552,0.702,0.774,0.782,0.854,0.906,0.948,0.948,0.954,0.95,0.964,0.986,0.992,0.996,1,1,1,1,
0.412,0.518,0.626,0.726,0.792,0.834,0.882,0.91,0.936,0.938,0.968,0.988,0.992,1,1,1,1,1,1,1,
0.368,0.444,0.584,0.652,0.766,0.808,0.832,0.906,0.962,0.97,0.982,1,1,1,1,1,1,1,1,1,
0.412,0.514,0.556,0.648,0.7,0.734,0.798,0.806,0.88,0.918,0.936,0.966,0.978,0.97,0.988,0.992,0.982,0.99,0.992,0.994,

0.432,0.462,0.616,0.706,0.79,0.814,0.796,0.832,0.814,0.804,0.906,0.904,0.928,0.936,0.956,0.95,0.954,0.942,0.942,0.958,
0.384,0.366,0.446,0.53,0.646,0.714,0.74,0.802,0.858,0.892,0.95,0.958,0.982,0.984,0.976,0.988,1,1,1,1,
0.362,0.43,0.578,0.658,0.756,0.836,0.896,0.91,0.952,0.954,0.966,0.97,0.982,0.986,0.99,0.998,1,1,1,1,
0.402,0.43,0.574,0.682,0.744,0.792,0.814,0.846,0.908,0.968,0.99,0.986,0.988,1,1,1,1,1,1,1,
0.428,0.464,0.55,0.598,0.722,0.814,0.842,0.862,0.882,0.922,0.906,0.936,0.96,0.958,0.934,0.948,0.948,0.962,0.976,0.99,
0.41,0.498,0.624,0.72,0.778,0.836,0.848,0.904,0.92,0.938,0.966,0.974,0.988,0.998,1,1,1,1,1,1,
0.392,0.426,0.476,0.548,0.69,0.746,0.824,0.892,0.908,0.902,0.912,0.944,0.968,0.988,1,1,1,1,1,1,
0.378,0.378,0.472,0.588,0.658,0.712,0.766,0.862,0.912,0.924,0.952,0.966,0.982,1,1,1,1,1,1,1,
0.386,0.478,0.598,0.688,0.77,0.85,0.904,0.922,0.94,0.914,0.938,0.962,0.968,0.976,1,1,1,1,1,1,
0.388,0.484,0.628,0.662,0.686,0.726,0.818,0.886,0.944,0.972,0.972,0.986,0.984,0.99,0.998,0.998,1,1,1,1,

0.112,0.154,0.2,0.312,0.446,0.542,0.666,0.758,0.844,0.894,0.948,0.96,0.956,0.95,0.95,0.976,0.992,1,1,1,
0.102,0.138,0.132,0.196,0.292,0.386,0.484,0.554,0.596,0.692,0.76,0.81,0.898,0.894,0.896,0.916,0.944,0.95,0.972,0.97,
0.086,0.094,0.098,0.116,0.188,0.23,0.26,0.288,0.328,0.414,0.476,0.538,0.612,0.614,0.63,0.736,0.75,0.78,0.832,0.838,
0.086,0.126,0.194,0.23,0.334,0.434,0.554,0.61,0.734,0.794,0.88,0.924,0.926,0.956,0.978,0.986,1,1,1,1,
