generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome ; average distance ; variance distance ; first quartiel distance ; sencond quartile distance ; third quartile distance
58 ; 9;29.8604;148.89;21.2694;27.2288;35.9838;1.70805;0.348913;1.2931;1.63793;2;6;1;0;1;1;1;1;1;4.26002;566.182;0;0;0
59 ; 9;29.418;143.61;21.9731;26.7673;35.9625;1.69379;0.339484;1.28814;1.64407;1.9661;3;1;0;1;1;1;1;1;3.23363;230.57;0;0;0
60 ; 9;28.9277;138.863;21.6069;26.3212;35.3631;1.67978;0.33181;1.28333;1.65;1.93333;4;1;0;1;1;1;1;1;2.00651;121.973;0;0;0
61 ; 9;28.4534;134.348;21.2527;25.8897;34.7834;1.66557;0.324658;1.27869;1.62295;1.91803;10;1;0;1;1;1;1;1;0.700016;22.3272;0;0;0
62 ; 9;27.9945;130.049;20.9099;25.4721;34.2224;1.6529;0.314397;1.25806;1.59677;1.93548;5;1;0;1;1;1;1;1;9.16985;1268.18;0;0;0
63 ; 9;27.5502;125.953;20.578;25.0678;33.6792;1.64063;0.305445;1.2381;1.5873;1.93651;11;1;0;1;1;1;1;1;1.57413;85.4504;0;0;0
64 ; 9;27.1282;122.065;20.2565;24.6761;33.1529;1.62917;0.300471;1.23438;1.5625;1.92188;8;1;0;1;1;1;1;1;5.09095;262.767;0;0;0
65 ; 9;26.7109;118.338;20.074;24.377;33.6096;1.61785;0.296085;1.24615;1.56923;1.96923;13;1;0;1;1;1;1;1;5.98328;860.12;0;0;0
66 ; 9;26.3611;114.818;19.6426;24.0076;32.1483;1.60646;0.289727;1.22727;1.5303;1.9697;9;1;0;1;1;1;1;1;5.72503;361.113;0;0;0
67 ; 9;26.0026;111.35;19.3495;23.6493;31.6685;1.59721;0.286618;1.23881;1.52239;1.98507;10;1;0;1;1;1;1;1;7.10309;944.163;0;0;0
68 ; 8;25.7045;109.417;19.0649;23.3015;31.2028;1.58922;0.285325;1.23529;1.52941;1.95588;11;1;0;1;1;1;1;1;8.17456;943.795;0;0;0
69 ; 8;25.3958;107.01;18.7886;23.1714;30.7506;1.58068;0.2842;1.23188;1.50725;1.95652;11;1;0;1;1;1;1;1;5.75208;541.839;0;0;0
70 ; 8;25.104;104.888;18.5202;23.0357;30.3113;1.57219;0.282628;1.22857;1.5;1.94286;9;1;0;1;1;1;1;1;9.51873;1096.39;0;0;0
71 ; 8;24.8631;103.139;18.2594;22.762;29.8843;1.56451;0.281747;1.21127;1.50704;1.91549;6;1;0;1;1;1;1;1;5.50827;973.51;0;0;0
72 ; 7;24.5658;100.538;18.0058;22.4458;29.4693;1.55611;0.281149;1.19444;1.5;1.88889;10;1;0;1;1;1;1;1;3.95267;652.076;0;0;0
73 ; 7;24.2293;97.8023;17.7591;22.1384;29.0656;1.54868;0.279582;1.19178;1.47945;1.87671;6;1;0;1;1;1;1;1;9.6499;953.457;0;0;0
74 ; 7;23.9262;95.2681;17.5191;21.8392;28.6728;1.54036;0.275478;1.18919;1.45946;1.86486;13;1;0;1;1;1;1;1;4.49227;545.48;0;0;0
75 ; 7;23.6467;92.0412;17.2855;21.548;28.2905;1.53387;0.272851;1.18667;1.45333;1.86667;10;1;0;1;1;1;1;1;12.908;1949.48;0;0;0
76 ; 7;23.3823;90.5432;17.0581;21.2645;27.9768;1.52702;0.271348;1.18421;1.47368;1.86842;9;1;0;1;1;1;1;1;6.69308;741.648;0;0;0
77 ; 7;23.0786;88.2067;16.8365;20.9883;27.6134;1.51861;0.266191;1.18182;1.45455;1.87013;5;1;0;1;1;1;1;1;3.64223;284.933;0;0;0
78 ; 7;22.7827;85.9595;16.6207;20.7192;27.2594;1.51026;0.262713;1.16667;1.4359;1.87179;6;1;0;1;1;1;1;1;0.308323;6.70585;0;0;0
79 ; 6;22.4943;83.7971;16.4103;20.457;26.9144;1.5016;0.259979;1.1519;1.41772;1.87342;6;1;0;1;1;1;1;1;2.60834;149.201;0;0;0
80 ; 6;22.2131;81.7152;16.2052;20.2013;26.5779;1.49367;0.258239;1.1375;1.4125;1.85;7;1;0;1;1;1;1;1;4.27433;380.756;0;0;0
81 ; 6;21.9644;79.9687;16.0051;19.9519;26.5378;1.48626;0.257412;1.12346;1.40741;1.83951;9;1;0;1;1;1;1;1;2.45969;102.174;0;0;0
82 ; 6;21.6988;78.0155;15.8099;19.7085;26.2362;1.47902;0.257147;1.10976;1.40244;1.82927;8;1;0;1;1;1;1;1;8.01454;1143.72;0;0;0
83 ; 6;21.4681;75.7756;15.7206;19.4711;25.9201;1.47229;0.255577;1.10843;1.38554;1.80723;10;1;0;1;1;1;1;1;8.03306;1199.64;0;0;0
84 ; 6;21.2382;74.1803;15.5335;19.2393;26.3159;1.4646;0.251251;1.11905;1.36905;1.78571;4;1;0;1;1;1;1;1;8.52296;886.268;0;0;0
85 ; 6;20.9883;72.4451;15.3507;19.0129;26.0063;1.45678;0.245663;1.11765;1.37647;1.77647;9;1;0;1;1;1;1;1;2.92657;476.296;0;0;0
86 ; 6;20.7443;70.7701;15.1722;18.7919;25.7039;1.45008;0.241896;1.10465;1.38372;1.77907;10;1;0;1;1;1;1;1;10.809;1843.08;0;0;0
87 ; 6;20.5059;69.1526;14.9978;18.5759;25.4084;1.44322;0.23875;1.09195;1.36782;1.77011;9;1;0;1;1;1;1;1;8.73497;1896.58;0;0;0
88 ; 6;20.2728;67.5899;14.8274;18.3648;25.1197;1.43712;0.235153;1.07955;1.35227;1.77273;5;1;0;1;1;1;1;1;9.37839;1335.37;0;0;0
89 ; 6;20.0451;66.0795;14.6608;18.1584;24.8374;1.43086;0.232444;1.08989;1.34831;1.77528;6;1;0;1;1;1;1;1;0.610328;9.92237;0;0;0
90 ; 6;19.8223;64.6192;14.4979;17.9567;24.5615;1.42459;0.230401;1.1;1.36667;1.77778;5;1;0;1;1;1;1;1;4.00788;1100.58;0;0;0
91 ; 6;19.6469;64.024;14.3386;17.7593;24.2916;1.41817;0.229486;1.0989;1.36264;1.76923;5;1;0;1;1;1;1;1;6.74816;1061.51;0;0;0
92 ; 6;19.4333;62.6397;14.1827;17.5663;24.0275;1.41145;0.228452;1.08696;1.34783;1.76087;7;1;0;1;1;1;1;1;1.00817;28.1458;0;0;0
93 ; 6;19.2244;61.2999;14.0302;17.3774;23.7692;1.40358;0.226552;1.07527;1.33333;1.74194;6;1;0;1;1;1;1;1;2.42257;332.452;0;0;0
94 ; 6;19.0199;60.0026;13.881;17.1926;23.5163;1.39645;0.2239;1.06383;1.31915;1.73404;10;1;0;1;1;1;1;1;10.8696;3122.23;0;0;0
95 ; 6;18.8196;58.746;13.7349;17.0116;23.2688;1.38975;0.21968;1.06316;1.31579;1.72632;5;1;0;1;1;1;1;1;7.75627;914.854;0;0;0
96 ; 6;18.6279;57.494;13.5918;16.8344;23.0264;1.38306;0.216165;1.0625;1.3125;1.70833;9;1;0;1;1;1;1;1;3.35484;329.658;0;0;0
97 ; 6;18.4359;56.3147;13.4517;16.6608;22.789;1.37787;0.214145;1.05155;1.30928;1.69072;13;1;0;1;1;1;1;1;13.8826;2813.82;0;0;0
98 ; 6;18.3282;54.6748;13.3144;16.4908;22.5565;1.37537;0.213295;1.05102;1.29592;1.68367;14;1;0;1;1;1;1;1;12.3071;1395.28;0;0;0
99 ; 6;18.2204;53.9285;13.1799;16.3242;22.3286;1.37414;0.21112;1.0404;1.29293;1.67677;8;1;0;1;1;1;1;1;16.4209;6843.52;0;0;0
100 ; 6;18.1367;52.8202;13.0481;16.3303;22.1053;1.3728;0.210033;1.03;1.29;1.67;9;1;0;1;1;1;1;1;5.90287;404.838;0;0;0
