gnerations , DifferentNumberOfGenome , averageFitness , varianceFitness , FirstQuartileFitness , medianFitness , thirdQuartileFitness, averageMatch , variance Match ,FirstQuartileMatch , medianMatch , thirdMatch , alive 
113,39,0.217109,0.0173928,0.141593,0.185841,0.256637,0.426667,0.244622,0,0,1,14
114,36,0.217661,0.016981,0.140351,0.201754,0.254386,0.426667,0.244622,0,0,1,10
115,34,0.216812,0.017148,0.13913,0.2,0.26087,0.426667,0.244622,0,0,1,7
116,38,0.215632,0.0168678,0.137931,0.198276,0.258621,0.426667,0.244622,0,0,1,13
117,39,0.215157,0.0169993,0.136752,0.196581,0.247863,0.413333,0.242489,0,0,1,7
118,44,0.213333,0.0167124,0.135593,0.194915,0.254237,0.386667,0.237156,0,0,1,15
119,41,0.212437,0.0163427,0.134454,0.193277,0.243697,0.386667,0.237156,0,0,1,10
120,46,0.210667,0.0160714,0.133333,0.2,0.25,0.386667,0.237156,0,0,1,12
121,38,0.209146,0.0158094,0.132231,0.198347,0.247934,0.386667,0.237156,0,0,1,10
122,41,0.208743,0.0154606,0.131148,0.188525,0.237705,0.36,0.2304,0,0,1,11
123,40,0.20748,0.0152455,0.138211,0.195122,0.243902,0.333333,0.222222,0,0,1,11
124,41,0.206129,0.0150056,0.129032,0.185484,0.233871,0.32,0.2176,0,0,1,16
125,41,0.205333,0.0147837,0.136,0.192,0.24,0.306667,0.212622,0,0,1,14
126,40,0.20455,0.0144328,0.134921,0.190476,0.238095,0.306667,0.212622,0,0,1,9
127,43,0.203255,0.0141421,0.133858,0.188976,0.23622,0.306667,0.212622,0,0,1,16
128,42,0.202396,0.0139277,0.132812,0.179688,0.234375,0.293333,0.207289,0,0,1,8
129,44,0.201447,0.0137163,0.131783,0.178295,0.232558,0.28,0.2016,0,0,1,12
130,41,0.201026,0.0134601,0.130769,0.176923,0.230769,0.28,0.2016,0,0,1,10
131,37,0.2,0.0132347,0.129771,0.175573,0.236641,0.266667,0.195556,0,0,1,6
132,38,0.198687,0.013071,0.128788,0.174242,0.234848,0.266667,0.195556,0,0,1,3
133,40,0.197494,0.0128612,0.12782,0.172932,0.233083,0.24,0.1824,0,0,0,4
134,38,0.196318,0.0126858,0.126866,0.179104,0.231343,0.24,0.1824,0,0,0,5
135,43,0.195259,0.0125112,0.125926,0.177778,0.22963,0.226667,0.175289,0,0,0,12
136,40,0.194706,0.0123535,0.125,0.176471,0.227941,0.226667,0.175289,0,0,0,14
137,34,0.194453,0.0121202,0.131387,0.182482,0.226277,0.226667,0.175289,0,0,0,9
138,42,0.193527,0.0119187,0.130435,0.188406,0.224638,0.213333,0.167822,0,0,0,19
139,40,0.193573,0.0117153,0.129496,0.18705,0.223022,0.2,0.16,0,0,0,9
140,41,0.192286,0.0115507,0.128571,0.185714,0.221429,0.2,0.16,0,0,0,13
141,41,0.191489,0.0113234,0.120567,0.184397,0.219858,0.186667,0.151822,0,0,0,16
