generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome 
67 ; 36;0.145714;0.00736793;0.0714286;0.132653;0.183673;1.1415;0.129294;0.887755;1.10204;1.41837;16;62.96;11.7184;60;63;66;55;67
68 ; 35;0.145185;0.00724762;0.0707071;0.131313;0.181818;1.13589;0.128143;0.878788;1.10101;1.41414;15;63.2267;15.562;60;63;66;55;68
69 ; 37;0.144533;0.00711278;0.07;0.13;0.2;1.13027;0.12736;0.87;1.1;1.41;18;64.1333;19.0756;60;66;68;55;69
70 ; 38;0.144158;0.00702478;0.0693069;0.128713;0.188119;1.12502;0.126186;0.861386;1.08911;1.41584;15;65.64;17.5104;63;67;69;55;70
71 ; 41;0.14366;0.0068371;0.0686275;0.127451;0.186275;1.11895;0.124381;0.852941;1.08824;1.41176;17;66.48;17.5296;63;68;69;55;71
72 ; 38;0.142913;0.00688864;0.0776699;0.126214;0.194175;1.11327;0.121895;0.84466;1.08738;1.39806;9;66.8533;20.6585;63;68;70;55;72
73 ; 40;0.141923;0.00675503;0.0769231;0.134615;0.192308;1.10526;0.119625;0.836538;1.08654;1.38462;7;67.3333;20.7289;63;69;71;55;73
74 ; 45;0.140571;0.00662698;0.0666667;0.12381;0.180952;1.09676;0.117815;0.828571;1.07619;1.38095;16;68.9467;25.5172;66;71;73;55;74
75 ; 44;0.140252;0.0063969;0.0660377;0.122642;0.179245;1.09019;0.11594;0.830189;1.06604;1.37736;11;70.4533;24.5945;68;72;74;55;75
76 ; 38;0.139439;0.00633944;0.0654206;0.121495;0.17757;1.08474;0.115134;0.841121;1.06542;1.36449;9;71.5333;22.2756;69;74;74;55;76
77 ; 37;0.138519;0.00624929;0.0648148;0.12037;0.175926;1.07802;0.113914;0.833333;1.06481;1.35185;12;72.3067;29.2793;71;74;75;55;77
78 ; 34;0.138226;0.0061798;0.0733945;0.12844;0.192661;1.07144;0.111926;0.825688;1.05505;1.33945;7;72.3733;48.0206;74;74;77;55;78
79 ; 37;0.137091;0.00606889;0.0636364;0.118182;0.190909;1.06364;0.110499;0.818182;1.04545;1.32727;9;73.1467;46.8985;74;76;77;55;79
80 ; 37;0.136216;0.00597345;0.0720721;0.117117;0.189189;1.05598;0.108907;0.810811;1.03604;1.31532;9;74.6533;39.2398;74;77;78;55;80
81 ; 41;0.135119;0.00588081;0.0714286;0.116071;0.1875;1.04881;0.106721;0.803571;1.02679;1.30357;7;75.9067;36.218;74;77;80;55;81
82 ; 45;0.133923;0.00577719;0.0707965;0.115044;0.185841;1.0413;0.104731;0.79646;1.0177;1.29204;12;77.3867;36.6372;77;79;81;55;82
83 ; 41;0.133333;0.00576793;0.0701754;0.122807;0.192982;1.03509;0.102834;0.789474;1.00877;1.2807;8;78.9333;31.6622;78;81;82;55;83
84 ; 42;0.132522;0.00565966;0.0695652;0.121739;0.191304;1.02806;0.10153;0.791304;1;1.27826;7;79.8133;25.2718;79;81;82;55;84
85 ; 40;0.131954;0.00558061;0.0689655;0.112069;0.181034;1.02138;0.100538;0.784483;0.991379;1.28448;13;81.5067;18.1166;80;82;84;55;85
86 ; 39;0.13151;0.00551079;0.0683761;0.119658;0.179487;1.01584;0.099885;0.786325;0.982906;1.2735;10;82.8533;7.88516;82;83;85;68;86
87 ; 40;0.131412;0.00539955;0.0677966;0.118644;0.177966;1.01073;0.0991216;0.788136;0.974576;1.26271;7;83.76;4.87573;82;84;85;78;87
88 ; 46;0.130308;0.00530918;0.0672269;0.117647;0.176471;1.00415;0.0982442;0.781513;0.966387;1.2521;12;84.84;6.18773;83;85;87;78;88
89 ; 42;0.130222;0.00532921;0.075;0.116667;0.183333;0.998556;0.0971562;0.775;0.958333;1.25;6;85.7333;5.84889;84;86;88;80;89
90 ; 49;0.129587;0.00528408;0.0743802;0.115702;0.181818;0.991736;0.0958787;0.768595;0.950413;1.23967;9;86.04;7.3184;84;86;88;80;90
91 ; 47;0.128852;0.00524153;0.0737705;0.114754;0.180328;0.985574;0.0949849;0.762295;0.942623;1.22951;9;87.1733;7.82329;85;88;90;81;91
92 ; 45;0.128022;0.00516111;0.0731707;0.113821;0.178862;0.979946;0.09395;0.772358;0.95935;1.21951;9;88.2;9.33333;86;89;91;81;92
93 ; 47;0.127527;0.00507231;0.0725806;0.112903;0.177419;0.973548;0.0925417;0.75;0.943548;1.21774;9;89.56;8.3264;88;90;92;82;93
94 ; 47;0.12672;0.00499377;0.072;0.112;0.176;0.96768;0.0909644;0.744;0.944;1.208;6;90.7467;7.54916;89;92;93;82;94
95 ; 48;0.126455;0.00496907;0.0714286;0.111111;0.174603;0.961799;0.0891722;0.738095;0.936508;1.19841;7;91.4133;8.00249;90;92;93;82;95
96 ; 46;0.126194;0.00491037;0.0708661;0.110236;0.173228;0.955906;0.0877922;0.732283;0.929134;1.18898;11;92.76;7.16907;92;93;95;82;96
97 ; 47;0.125521;0.00482476;0.0703125;0.109375;0.171875;0.950208;0.0865198;0.726562;0.921875;1.17969;11;93.68;7.2576;92;94;96;82;97
98 ; 49;0.125271;0.00478824;0.0697674;0.108527;0.170543;0.945116;0.0852653;0.72093;0.914729;1.17054;8;94.56;6.4064;93;95;97;88;98
99 ; 50;0.124308;0.00471486;0.0692308;0.107692;0.169231;0.940308;0.0842506;0.715385;0.907692;1.16154;13;95.6267;6.60729;93;96;98;89;99
100 ; 44;0.123664;0.00466639;0.0687023;0.10687;0.167939;0.936183;0.0837506;0.709924;0.908397;1.15267;7;96.6;6.66667;95;97;99;90;100
