PoolSize
1.1,3,1.2,2.2,0.5,0.9,0.1,2.1,1.6,1.7,1.7,1.3,2,2.2,2.1,1.1,1.6,2.2,2.3,1.7,0.9,1.4,2.3,2.5,1.4,1.2,0.2,1,0.2,1.4,1.3,0.7,1.7,1.9,0.4,0.4,3,1.6,0.5,0.5,1,2.1,1.8,2.4,1.3,1.9,1.9,2.1,0.4,2.9,1.2,1.9,1.3,2.7,3,1.5,0.4,2.1,3.3,1.6,2.5,0.2,1.3,1.2,0.3,1.4,1.9,0.5,1,1.3,1.5,1.7,1.6,1.5,0.6,
1.18182,2.90909,1.09091,2.27273,0.545455,0.909091,0.0909091,2.09091,1.54545,1.72727,1.72727,1.27273,2,2.18182,2.18182,1.18182,1.63636,2.09091,2.09091,1.63636,0.909091,1.36364,2.27273,2.54545,1.36364,1.09091,0.181818,0.909091,0.272727,1.36364,1.27273,0.727273,1.72727,1.81818,0.363636,0.363636,2.90909,1.63636,0.454545,0.454545,0.909091,2.09091,1.81818,2.45455,1.18182,1.81818,1.90909,2.09091,0.363636,2.63636,1.18182,1.90909,1.18182,2.63636,2.90909,1.54545,0.363636,2.09091,3.18182,1.45455,2.54545,0.181818,1.27273,1.09091,0.272727,1.27273,1.81818,0.454545,1,1.27273,1.45455,1.72727,1.45455,1.36364,0.545455,
1.25,2.83333,1,2.16667,0.666667,0.916667,0.0833333,2.08333,1.5,1.75,1.83333,1.25,2,2.16667,2.25,1.16667,1.66667,2,1.91667,1.58333,1,1.33333,2.25,2.5,1.33333,1,0.25,0.833333,0.416667,1.33333,1.25,0.666667,1.75,1.75,0.416667,0.333333,2.83333,1.66667,0.416667,0.416667,0.833333,2.08333,1.91667,2.5,1.08333,1.83333,1.91667,2.08333,0.333333,2.41667,1.25,1.91667,1.16667,2.58333,2.83333,1.5,0.416667,2.08333,3,1.33333,2.5,0.25,1.25,1,0.25,1.25,1.83333,0.416667,1.08333,1.33333,1.41667,1.75,1.33333,1.41667,0.5,
1.30769,2.76923,1,2.07692,0.769231,0.923077,0.0769231,2.07692,1.53846,1.76923,1.84615,1.15385,2,2.15385,2.30769,1.30769,1.61538,1.92308,1.76923,1.53846,1.07692,1.30769,2.23077,2.46154,1.30769,0.923077,0.307692,0.769231,0.538462,1.23077,1.23077,0.615385,1.76923,1.69231,0.384615,0.307692,2.76923,1.69231,0.384615,0.384615,0.769231,2.07692,2,2.53846,1,1.84615,1.92308,2.07692,0.307692,2.23077,1.30769,1.84615,1.15385,2.53846,2.76923,1.53846,0.461538,2.15385,2.92308,1.23077,2.38462,0.230769,1.23077,0.923077,0.230769,1.23077,1.76923,0.384615,1.15385,1.38462,1.38462,1.76923,1.23077,1.46154,0.461538,
1.35714,2.78571,1,2.07143,0.857143,0.928571,0.0714286,2.07143,1.57143,1.78571,1.85714,1.14286,2,2.14286,2.42857,1.35714,1.57143,1.85714,1.64286,1.5,1.07143,1.28571,2.21429,2.42857,1.35714,0.857143,0.357143,0.714286,0.571429,1.14286,1.21429,0.571429,1.78571,1.64286,0.357143,0.285714,2.71429,1.71429,0.357143,0.357143,0.714286,2.07143,2.14286,2.57143,0.928571,1.85714,1.92857,2.07143,0.357143,2.07143,1.35714,1.85714,1.14286,2.5,2.71429,1.5,0.428571,2.14286,2.78571,1.14286,2.28571,0.214286,1.21429,0.857143,0.214286,1.14286,1.78571,0.428571,1.21429,1.5,1.35714,1.78571,1.14286,1.57143,0.428571,
1.4,2.8,0.933333,2,0.866667,0.933333,0.0666667,2.2,1.6,1.8,1.86667,1.06667,2.06667,2.13333,2.53333,1.33333,1.6,1.8,1.53333,1.46667,1.06667,1.26667,2.2,2.4,1.53333,0.8,0.466667,0.666667,0.6,1.06667,1.2,0.533333,1.8,1.6,0.333333,0.266667,2.53333,1.73333,0.333333,0.333333,0.666667,2.06667,2.13333,2.6,0.866667,1.8,1.93333,2.06667,0.4,1.93333,1.4,1.8,1.2,2.46667,2.66667,1.53333,0.4,2.13333,2.66667,1.06667,2.33333,0.2,1.2,0.8,0.2,1.06667,1.8,0.4,1.26667,1.6,1.33333,1.8,1.06667,1.73333,0.4,
1.4375,2.75,0.875,1.9375,0.9375,0.9375,0.0625,2.3125,1.5625,1.8125,1.875,1,2.125,2.0625,2.5625,1.4375,1.6875,1.75,1.4375,1.4375,1.125,1.25,2.25,2.375,1.75,0.75,0.5,0.625,0.625,1,1.1875,0.5,1.8125,1.5625,0.3125,0.25,2.4375,1.75,0.3125,0.3125,0.625,2.0625,2.1875,2.625,0.875,1.75,1.9375,2.125,0.4375,1.8125,1.4375,1.75,1.4375,2.375,2.625,1.5625,0.375,2.125,2.5625,1,2.5,0.1875,1.1875,0.75,0.25,1,1.75,0.4375,1.3125,1.6875,1.3125,1.8125,1,1.9375,0.375,
1.47059,2.70588,0.823529,1.82353,0.882353,0.941176,0.0588235,2.35294,1.52941,1.76471,1.88235,0.941176,2.11765,2.05882,2.58824,1.47059,1.64706,1.70588,1.35294,1.41176,1.17647,1.23529,2.29412,2.35294,1.70588,0.705882,0.588235,0.588235,0.647059,0.941176,1.17647,0.470588,1.82353,1.52941,0.294118,0.235294,2.35294,1.76471,0.294118,0.294118,0.588235,2.05882,2.23529,2.64706,0.941176,1.70588,1.94118,2.11765,0.470588,1.70588,1.47059,1.76471,1.64706,2.35294,2.58824,1.58824,0.352941,2.11765,2.52941,0.941176,2.52941,0.176471,1.17647,0.705882,0.294118,0.941176,1.70588,0.470588,1.35294,1.76471,1.29412,1.82353,0.941176,1.94118,0.352941,
1.5,2.66667,0.777778,1.83333,0.833333,0.944444,0.0555556,2.38889,1.5,1.77778,1.88889,0.888889,2.11111,2.05556,2.61111,1.61111,1.55556,1.66667,1.27778,1.38889,1.16667,1.22222,2.33333,2.27778,1.66667,0.666667,0.666667,0.555556,0.666667,0.888889,1.16667,0.444444,1.83333,1.5,0.277778,0.222222,2.27778,1.77778,0.277778,0.277778,0.555556,2,2.27778,2.66667,1,1.66667,1.94444,2.11111,0.5,1.61111,1.44444,1.83333,1.66667,2.27778,2.55556,1.61111,0.388889,2.11111,2.44444,0.888889,2.55556,0.166667,1.22222,0.666667,0.277778,0.888889,1.66667,0.5,1.38889,1.83333,1.27778,1.83333,0.888889,1.94444,0.333333,
1.52632,2.63158,0.736842,1.84211,0.789474,0.947368,0.0526316,2.42105,1.47368,1.78947,1.89474,0.842105,2.10526,2.05263,2.63158,1.68421,1.52632,1.63158,1.21053,1.36842,1.15789,1.21053,2.31579,2.21053,1.63158,0.631579,0.631579,0.526316,0.684211,0.842105,1.15789,0.421053,1.84211,1.47368,0.263158,0.210526,2.21053,1.78947,0.263158,0.263158,0.526316,1.94737,2.21053,2.68421,1.05263,1.63158,2,2.10526,0.526316,1.52632,1.42105,1.89474,1.78947,2.26316,2.52632,1.68421,0.473684,2.10526,2.36842,0.842105,2.57895,0.157895,1.26316,0.631579,0.263158,0.842105,1.63158,0.473684,1.42105,1.89474,1.26316,1.84211,0.842105,1.94737,0.315789,
1.55,2.6,0.7,1.8,0.75,0.95,0.05,2.45,1.45,1.8,1.9,0.8,2.1,2.05,2.65,1.95,1.55,1.6,1.15,1.35,1.15,1.2,2.3,2.15,1.6,0.6,0.7,0.5,0.7,0.8,1.15,0.4,1.85,1.45,0.25,0.2,2.15,1.85,0.25,0.25,0.5,1.9,2.1,2.7,1.1,1.6,2.05,2.1,0.55,1.45,1.4,2,1.85,2.25,2.5,1.7,0.55,2.1,2.3,0.8,2.5,0.15,1.45,0.6,0.25,0.8,1.6,0.55,1.45,2,1.25,1.85,0.8,1.95,0.3,
1.66667,2.71429,0.666667,1.7619,0.714286,0.952381,0.047619,2.52381,1.47619,1.85714,1.95238,0.761905,2.2381,2.09524,2.71429,2.09524,1.52381,1.57143,1.19048,1.38095,1.14286,1.2381,2.38095,2.09524,1.57143,0.571429,0.761905,0.47619,0.714286,0.809524,1.14286,0.380952,1.90476,1.42857,0.238095,0.190476,2.09524,1.90476,0.238095,0.285714,0.47619,1.85714,2.04762,2.80952,1.28571,1.66667,2.14286,2.14286,0.619048,1.42857,1.38095,2.14286,1.85714,2.19048,2.52381,1.71429,0.571429,2.14286,2.2381,0.809524,2.57143,0.142857,1.71429,0.666667,0.285714,0.761905,1.61905,0.619048,1.57143,2.14286,1.2381,1.85714,0.761905,1.95238,0.285714,
1.72727,2.77273,0.636364,1.72727,0.681818,0.954545,0.0454545,2.59091,1.54545,1.77273,2.04545,0.727273,2.18182,2.18182,2.77273,2.09091,1.45455,1.54545,1.27273,1.31818,1.18182,1.18182,2.36364,2,1.54545,0.545455,0.818182,0.454545,0.681818,0.863636,1.13636,0.363636,1.86364,1.45455,0.318182,0.181818,2.09091,2,0.227273,0.272727,0.5,1.81818,1.95455,2.86364,1.36364,1.77273,2.18182,2.09091,0.636364,1.45455,1.54545,2.27273,1.81818,2.09091,2.63636,1.68182,0.545455,2.18182,2.13636,0.863636,2.68182,0.136364,2,0.818182,0.318182,0.727273,1.72727,0.727273,1.68182,2.22727,1.22727,1.81818,0.727273,1.90909,0.272727,
1.69565,2.65217,0.608696,1.65217,0.695652,0.956522,0.0434783,2.6087,1.6087,1.78261,2,0.695652,2.13043,2.26087,2.73913,2.13043,1.43478,1.47826,1.34783,1.34783,1.21739,1.13043,2.34783,1.91304,1.47826,0.521739,0.869565,0.478261,0.652174,0.826087,1.13043,0.347826,1.78261,1.52174,0.347826,0.173913,2,2.26087,0.217391,0.26087,0.565217,1.82609,1.86957,3,1.56522,1.78261,2.26087,2.04348,0.695652,1.47826,1.56522,2.30435,1.78261,2,2.6087,1.78261,0.565217,2.13043,2.04348,0.869565,2.65217,0.130435,2.04348,0.913043,0.304348,0.695652,1.78261,0.956522,1.69565,2.21739,1.21739,1.86957,0.695652,1.82609,0.26087,
